Year,Player,Age,Pos,All NBA Total Career,PER
1990,A.C. Green,26,PF,0,14.7
1991,A.C. Green,27,PF,0,13.8
1992,A.C. Green,28,PF,0,16.7
1993,A.C. Green,29,PF,0,16.3
1994,A.C. Green,30,PF,0,17
1995,A.C. Green,31,SF,0,14.2
1996,A.C. Green,32,SF,0,12.9
1997,A.C. Green,33,PF,0,12.4
1997,A.C. Green,33,PF,0,11.6
1997,A.C. Green,33,PF,0,12.6
1998,A.C. Green,34,PF,0,12.8
1999,A.C. Green,35,PF,0,12.5
2000,A.C. Green,36,PF,0,11.2
2001,A.C. Green,37,PF,0,11.2
2000,A.J. Bramlett,23,C,0,-0.4
1991,A.J. English,23,SG,0,10.6
1992,A.J. English,24,SG,0,12.5
2001,A.J. Guyton,22,PG,0,10.3
2002,A.J. Guyton,23,PG,0,11.8
2003,A.J. Guyton,24,PG,0,-9
2017,A.J. Hammons,24,C,0,8.4
2010,A.J. Price,23,PG,0,14
2011,A.J. Price,24,PG,0,10.7
2012,A.J. Price,25,PG,0,11.5
2013,A.J. Price,26,PG,0,12.4
2014,A.J. Price,27,SG,0,9.7
2015,A.J. Price,28,PG,0,12
2015,A.J. Price,28,PG,0,17.1
2015,A.J. Price,28,PG,0,7.7
2015,A.J. Price,28,PG,0,-1.6
1991,A.J. Wynder,26,PG,0,7.6
2008,Aaron Brooks,23,PG,0,13.1
2009,Aaron Brooks,24,PG,0,12.9
2010,Aaron Brooks,25,PG,0,16
2011,Aaron Brooks,26,PG,0,13.1
2011,Aaron Brooks,26,PG,0,11.7
2011,Aaron Brooks,26,PG,0,15.6
2013,Aaron Brooks,28,PG,0,11.8
2013,Aaron Brooks,28,PG,0,12.1
2013,Aaron Brooks,28,PG,0,5.6
2014,Aaron Brooks,29,PG,0,12.5
2014,Aaron Brooks,29,PG,0,11.9
2014,Aaron Brooks,29,PG,0,12.9
2015,Aaron Brooks,30,PG,0,14.4
2016,Aaron Brooks,31,PG,0,11.8
2017,Aaron Brooks,32,PG,0,9.5
2015,Aaron Gordon,19,PF,0,11.4
2016,Aaron Gordon,20,PF,0,17
2017,Aaron Gordon,21,SF,0,14.4
2008,Aaron Gray,23,C,0,13.9
2009,Aaron Gray,24,C,0,11.5
2010,Aaron Gray,25,C,0,16.6
2010,Aaron Gray,25,C,0,7
2010,Aaron Gray,25,C,0,18.4
2011,Aaron Gray,26,C,0,11
2012,Aaron Gray,27,C,0,11.1
2013,Aaron Gray,28,C,0,9
2014,Aaron Gray,29,C,0,7.8
2014,Aaron Gray,29,C,0,5.7
2014,Aaron Gray,29,C,0,7.9
2016,Aaron Harrison,21,SG,0,4.3
2017,Aaron Harrison,22,SG,0,-2.2
1995,Aaron McKie,22,SG,0,13.3
1996,Aaron McKie,23,SG,0,13.4
1997,Aaron McKie,24,SG,0,12.1
1997,Aaron McKie,24,SG,0,9.1
1997,Aaron McKie,24,SG,0,14.8
1998,Aaron McKie,25,SG-SF,0,8.6
1998,Aaron McKie,25,SF,0,10.1
1998,Aaron McKie,25,SG,0,8.1
1999,Aaron McKie,26,SG,0,11.4
2000,Aaron McKie,27,SG,0,13.2
2001,Aaron McKie,28,SG,0,15.1
2002,Aaron McKie,29,SG,0,15.8
2003,Aaron McKie,30,SF,0,13.7
2004,Aaron McKie,31,SF,0,13.9
2005,Aaron McKie,32,SG,0,8.4
2006,Aaron McKie,33,PG,0,6.1
2007,Aaron McKie,34,SF,0,7.5
2006,Aaron Miles,22,PG,0,6
1995,Aaron Swinson,24,SF,0,11.7
1994,Aaron Williams,22,PF,0,-7
1995,Aaron Williams,23,PF,0,7
1997,Aaron Williams,25,PF-C,0,16.4
1997,Aaron Williams,25,C,0,19.1
1997,Aaron Williams,25,PF,0,16.4
1998,Aaron Williams,26,PF,0,13.4
1999,Aaron Williams,27,PF,0,15.2
2000,Aaron Williams,28,PF,0,17.7
2001,Aaron Williams,29,PF,0,15.1
2002,Aaron Williams,30,PF,0,15.2
2003,Aaron Williams,31,C,0,11.9
2004,Aaron Williams,32,C,0,13.2
2005,Aaron Williams,33,C,0,5.9
2005,Aaron Williams,33,C,0,8.9
2005,Aaron Williams,33,C,0,3.3
2006,Aaron Williams,34,C,0,11.6
2006,Aaron Williams,34,C,0,7.2
2006,Aaron Williams,34,C,0,12.2
2007,Aaron Williams,35,PF,0,9.4
2008,Aaron Williams,36,C,0,10.3
1994,Acie Earl,23,C,0,9.2
1995,Acie Earl,24,C,0,6.6
1996,Acie Earl,25,C,0,14.1
1997,Acie Earl,26,C,0,10.7
1997,Acie Earl,26,C,0,10
1997,Acie Earl,26,C,0,18.6
2008,Acie Law,23,PG,0,7.7
2009,Acie Law,24,PG,0,10.6
2010,Acie Law,25,PG,0,16
2010,Acie Law,25,PG,0,21.3
2010,Acie Law,25,PG,0,7.5
2010,Acie Law,25,PG,0,15.4
2011,Acie Law,26,PG,0,9.9
2011,Acie Law,26,PG,0,0.4
2011,Acie Law,26,PG,0,11.3
2003,Adam Harrington,22,SG,0,7.4
2003,Adam Harrington,22,SG,0,1.4
2003,Adam Harrington,22,SG,0,10.4
1993,Adam Keefe,22,PF,0,13.6
1994,Adam Keefe,23,PF,0,12
1995,Adam Keefe,24,SF,0,15.1
1996,Adam Keefe,25,PF,0,13.8
1997,Adam Keefe,26,C,0,11.7
1998,Adam Keefe,27,C,0,14.5
1999,Adam Keefe,28,PF,0,12.2
2000,Adam Keefe,29,C,0,7.6
2001,Adam Keefe,30,PF,0,9.7
2007,Adam Morrison,22,PF,0,7.9
2009,Adam Morrison,24,SF,0,5.7
2009,Adam Morrison,24,SF,0,5.8
2009,Adam Morrison,24,SF,0,2.9
2010,Adam Morrison,25,SF,0,7.4
1998,Adonal Foyle,22,C,0,9.2
1999,Adonal Foyle,23,C,0,12.3
2000,Adonal Foyle,24,C,0,12.3
2001,Adonal Foyle,25,C,0,12.4
2002,Adonal Foyle,26,C,0,12.5
2003,Adonal Foyle,27,C,0,15.3
2004,Adonal Foyle,28,C,0,13
2005,Adonal Foyle,29,C,0,12.7
2006,Adonal Foyle,30,C,0,10.3
2007,Adonal Foyle,31,C,0,13.7
2008,Adonal Foyle,32,C,0,9.9
2009,Adonal Foyle,33,C,0,19.7
2009,Adonal Foyle,33,C,0,21
2009,Adonal Foyle,33,C,0,-6.3
1994,Adonis Jordan,23,PG,0,5.6
1999,Adonis Jordan,28,PG,0,18.9
2014,Adonis Thomas,20,SF,0,7.3
2014,Adonis Thomas,20,SF,0,5.8
2014,Adonis Thomas,20,SF,0,10.1
2015,Adreian Payne,23,PF,0,7.7
2015,Adreian Payne,23,PF,0,2.9
2015,Adreian Payne,23,PF,0,7.8
2016,Adreian Payne,24,PF,0,5.6
2017,Adreian Payne,25,PF,0,14.4
1990,Adrian Branch,26,SF,0,16.9
1990,Adrian Caldwell,23,PF,0,9.5
1991,Adrian Caldwell,24,PF,0,8.6
1995,Adrian Caldwell,28,PF,0,4.4
1996,Adrian Caldwell,29,PF,0,10.4
1997,Adrian Caldwell,30,PF,0,7.5
1997,Adrian Caldwell,30,PF,0,5.1
1997,Adrian Caldwell,30,PF,0,8.8
1998,Adrian Caldwell,31,PF,0,0
1990,Adrian Dantley*,33,SF,0,15.4
1991,Adrian Dantley*,34,SF,0,12.1
2000,Adrian Griffin,25,SG,0,12.6
2001,Adrian Griffin,26,SF,0,10.5
2002,Adrian Griffin,27,SG,0,14.2
2003,Adrian Griffin,28,SG,0,11.5
2004,Adrian Griffin,29,SG,0,4.5
2005,Adrian Griffin,30,SF,0,10.7
2006,Adrian Griffin,31,SG,0,11.6
2007,Adrian Griffin,32,SF,0,10.7
2008,Adrian Griffin,33,SG-SF,0,8.7
2008,Adrian Griffin,33,SG,0,8.5
2008,Adrian Griffin,33,SF,0,9.3
1999,Al Harrington,18,PF,0,6.4
2000,Al Harrington,19,PF,0,10.8
2001,Al Harrington,20,PF,0,10.2
2002,Al Harrington,21,PF,0,14.3
2003,Al Harrington,22,SF,0,12.4
2004,Al Harrington,23,PF,0,14.9
2005,Al Harrington,24,SF,0,14.4
2006,Al Harrington,25,PF,0,16
2007,Al Harrington,26,PF,0,14.8
2007,Al Harrington,26,PF,0,13.4
2007,Al Harrington,26,PF,0,16.1
2008,Al Harrington,27,C,0,15.6
2009,Al Harrington,28,PF,0,15.9
2009,Al Harrington,28,PF,0,8.8
2009,Al Harrington,28,PF,0,16.4
2010,Al Harrington,29,PF,0,16.8
2011,Al Harrington,30,PF,0,12.3
2012,Al Harrington,31,PF,0,15.3
2013,Al Harrington,32,C,0,10.3
2014,Al Harrington,33,PF,0,9.7
2008,Al Horford,21,C,1,14.7
2009,Al Horford,22,C,1,17
2010,Al Horford,23,C,1,19.4
2011,Al Horford,24,C,1,20.7
2012,Al Horford,25,C,1,19
2013,Al Horford,26,C,1,19.8
2014,Al Horford,27,C,1,22
2015,Al Horford,28,C,1,21.4
2016,Al Horford,29,C,1,19.4
2017,Al Horford,30,C,1,17.7
2005,Al Jefferson,20,PF,1,16.6
2006,Al Jefferson,21,PF,1,16.2
2007,Al Jefferson,22,C,1,19.8
2008,Al Jefferson,23,C,1,22.7
2009,Al Jefferson,24,C,1,23.1
2010,Al Jefferson,25,C,1,19
2011,Al Jefferson,26,C,1,20.1
2012,Al Jefferson,27,C,1,22.8
2013,Al Jefferson,28,C,1,20.9
2014,Al Jefferson,29,C,1,22.7
2015,Al Jefferson,30,C,1,19.7
2016,Al Jefferson,31,C,1,18.2
2017,Al Jefferson,32,C,1,18.9
2008,Al Thornton,24,PF,0,12.7
2009,Al Thornton,25,SF,0,12.6
2010,Al Thornton,26,SF,0,11.8
2010,Al Thornton,26,SF,0,11.6
2010,Al Thornton,26,SF,0,12.1
2011,Al Thornton,27,SF-PF,0,11.7
2011,Al Thornton,27,SF,0,11.8
2011,Al Thornton,27,PF,0,11.3
1991,Alaa Abdelnaby,22,PF,0,13.1
1992,Alaa Abdelnaby,23,PF,0,13.5
1993,Alaa Abdelnaby,24,PF,0,13.2
1993,Alaa Abdelnaby,24,PF,0,11.9
1993,Alaa Abdelnaby,24,PF,0,13.4
1994,Alaa Abdelnaby,25,PF,0,9.2
1995,Alaa Abdelnaby,26,PF,0,12.6
1995,Alaa Abdelnaby,26,PF,0,14.1
1995,Alaa Abdelnaby,26,PF,0,-12.5
2006,Alan Anderson,23,SF,0,10.4
2007,Alan Anderson,24,SG,0,10.1
2012,Alan Anderson,29,SF,0,8.7
2013,Alan Anderson,30,SF,0,12.6
2014,Alan Anderson,31,SF,0,9.5
2015,Alan Anderson,32,SG,0,10.6
2016,Alan Anderson,33,SG,0,9.2
2017,Alan Anderson,34,SF,0,5
1996,Alan Henderson,23,PF,0,12.9
1997,Alan Henderson,24,PF,0,15
1998,Alan Henderson,25,PF,0,18.4
1999,Alan Henderson,26,SF,0,16
2000,Alan Henderson,27,PF,0,14.7
2001,Alan Henderson,28,PF,0,14
2002,Alan Henderson,29,PF,0,13.4
2003,Alan Henderson,30,C,0,12.1
2004,Alan Henderson,31,PF,0,18.2
2005,Alan Henderson,32,PF,0,12.4
2006,Alan Henderson,33,C,0,12.2
2007,Alan Henderson,34,PF,0,15.7
1991,Alan Ogg,23,C,0,7.4
1992,Alan Ogg,24,C,0,9.8
1993,Alan Ogg,25,C,0,15.7
1993,Alan Ogg,25,C,0,9.6
1993,Alan Ogg,25,C,0,67.9
2016,Alan Williams,23,PF,0,21.1
2017,Alan Williams,24,C,0,19.5
2008,Alando Tucker,23,SF,0,11.8
2009,Alando Tucker,24,SG,0,13
2010,Alando Tucker,25,SF,0,13.4
2010,Alando Tucker,25,SF,0,15.7
2010,Alando Tucker,25,SF,0,6.9
1992,Albert King,32,SF,0,14.3
2012,Alec Burks,20,SG,0,14
2013,Alec Burks,21,SG,0,11.5
2014,Alec Burks,22,SG,0,15.8
2015,Alec Burks,23,SG,0,13
2016,Alec Burks,24,SG,0,14.3
2017,Alec Burks,25,SG,0,11.6
1991,Alec Kessler,24,C,0,8.4
1992,Alec Kessler,25,PF,0,10.2
1993,Alec Kessler,26,PF,0,11.5
1994,Alec Kessler,27,PF,0,11.8
1997,Aleksandar Djordjevic,29,SG,0,12.5
2000,Aleksandar Radojevic,23,C,0,2.4
2005,Aleksandar Radojevic,28,C,0,-1.5
2017,Alex Abrines,23,SG,0,10.1
2006,Alex Acker,23,SG,0,-2.4
2009,Alex Acker,26,SG,0,10.4
2009,Alex Acker,26,SG,0,16
2009,Alex Acker,26,SG,0,9.8
1993,Alex Blackwell,22,SF,0,8.2
1990,Alex English*,36,SF,0,17.9
1991,Alex English*,37,SF,0,12.2
2004,Alex Garcia,23,SG,0,-4.7
2005,Alex Garcia,24,SG,0,8.4
2015,Alex Kirk,23,C,0,8.5
2014,Alex Len,20,C,0,7.3
2015,Alex Len,21,C,0,13.5
2016,Alex Len,22,C,0,12.4
2017,Alex Len,23,C,0,15
2017,Alex Poythress,23,PF,0,13.2
2006,Alex Scales,27,SG,0,
2016,Alex Stepheson,28,PF,0,14.8
2016,Alex Stepheson,28,PF,0,8.9
2016,Alex Stepheson,28,PF,0,16
1993,Alex Stivrins,30,PF-SF,0,13.5
1993,Alex Stivrins,30,PF,0,14.5
1993,Alex Stivrins,30,SF,0,-32.3
1993,Alex Stivrins,30,SF,0,10.9
1993,Alex Stivrins,30,PF,0,18.8
2007,Alexander Johnson,23,PF,0,13.2
2008,Alexander Johnson,24,PF,0,8.9
1990,Alexander Volkov,25,C,0,11.9
1992,Alexander Volkov,27,C,0,15.5
2013,Alexey Shved,24,SG,0,11
2014,Alexey Shved,25,SG,0,10.2
2015,Alexey Shved,26,SG,0,19.5
2015,Alexey Shved,26,SG,0,20
2015,Alexey Shved,26,SG,0,9.3
2015,Alexey Shved,26,SG,0,20.5
2009,Alexis Ajinca,20,PF,0,7
2010,Alexis Ajinca,21,C,0,6.3
2011,Alexis Ajinca,22,C,0,12.2
2011,Alexis Ajinca,22,C,0,12.8
2011,Alexis Ajinca,22,C,0,12
2014,Alexis Ajinca,25,C,0,14.6
2015,Alexis Ajinca,26,C,0,19.9
2016,Alexis Ajinca,27,C,0,13.8
2017,Alexis Ajinca,28,C,0,12.9
2011,Al-Farouq Aminu,20,SF,0,9.6
2012,Al-Farouq Aminu,21,SF,0,10.6
2013,Al-Farouq Aminu,22,SF,0,13.7
2014,Al-Farouq Aminu,23,SF,0,13.2
2015,Al-Farouq Aminu,24,SF,0,14.4
2016,Al-Farouq Aminu,25,SF,0,12.7
2017,Al-Farouq Aminu,26,SF,0,11.3
1994,Allan Houston,22,SG,0,9
1995,Allan Houston,23,SG,0,16.4
1996,Allan Houston,24,SG,0,15.7
1997,Allan Houston,25,SG,0,11.3
1998,Allan Houston,26,SG,0,15.1
1999,Allan Houston,27,SG,0,13.1
2000,Allan Houston,28,SG,0,16.5
2001,Allan Houston,29,SG,0,16.1
2002,Allan Houston,30,SG,0,15.2
2003,Allan Houston,31,SG,0,17.7
2004,Allan Houston,32,SG,0,14.8
2005,Allan Houston,33,SG,0,12.5
2007,Allan Ray,22,SG,0,10
2014,Allen Crabbe,21,SG,0,7.7
2015,Allen Crabbe,22,SG,0,8.7
2016,Allen Crabbe,23,SG,0,12.2
2017,Allen Crabbe,24,SG,0,11.6
1997,Allen Iverson*,21,PG,7,18
1998,Allen Iverson*,22,PG,7,20.4
1999,Allen Iverson*,23,SG,7,22.2
2000,Allen Iverson*,24,SG,7,20
2001,Allen Iverson*,25,SG,7,24
2002,Allen Iverson*,26,SG,7,21.9
2003,Allen Iverson*,27,SG,7,21.2
2004,Allen Iverson*,28,SG,7,19.3
2005,Allen Iverson*,29,PG,7,23.2
2006,Allen Iverson*,30,PG,7,25.9
2007,Allen Iverson*,31,SG-PG,7,19.6
2007,Allen Iverson*,31,PG,7,23.5
2007,Allen Iverson*,31,SG,7,18.4
2008,Allen Iverson*,32,SG,7,20.9
2009,Allen Iverson*,33,PG-SG,7,15.8
2009,Allen Iverson*,33,SG,7,15.2
2009,Allen Iverson*,33,PG,7,15.9
2010,Allen Iverson*,34,SG-PG,7,13.4
2010,Allen Iverson*,34,PG,7,16.9
2010,Allen Iverson*,34,SG,7,13.1
2010,Alonzo Gee,22,SG,0,16.2
2011,Alonzo Gee,23,SG,0,10.8
2011,Alonzo Gee,23,SG,0,-2.1
2011,Alonzo Gee,23,SG,0,9.9
2011,Alonzo Gee,23,SG,0,11.1
2012,Alonzo Gee,24,SG,0,13.2
2013,Alonzo Gee,25,SF,0,10.5
2014,Alonzo Gee,26,SF,0,8.6
2015,Alonzo Gee,27,SF,0,13
2015,Alonzo Gee,27,SF,0,14
2015,Alonzo Gee,27,SF,0,9.7
2016,Alonzo Gee,28,SF,0,8.4
2017,Alonzo Gee,29,SF,0,3.1
1993,Alonzo Mourning*,22,C,2,20.8
1994,Alonzo Mourning*,23,C,2,21.7
1995,Alonzo Mourning*,24,C,2,20.1
1996,Alonzo Mourning*,25,C,2,22.7
1997,Alonzo Mourning*,26,C,2,21.6
1998,Alonzo Mourning*,27,C,2,22.4
1999,Alonzo Mourning*,28,C,2,24.6
2000,Alonzo Mourning*,29,C,2,25.8
2001,Alonzo Mourning*,30,C,2,24.6
2002,Alonzo Mourning*,31,C,2,18.9
2004,Alonzo Mourning*,33,C,2,13.3
2005,Alonzo Mourning*,34,C-PF,2,15.4
2005,Alonzo Mourning*,34,PF,2,13.5
2005,Alonzo Mourning*,34,C,2,18.9
2006,Alonzo Mourning*,35,C,2,19.4
2007,Alonzo Mourning*,36,C,2,16.7
2008,Alonzo Mourning*,37,C,2,16.2
1994,Alphonso Ford,22,PG,0,28.9
1995,Alphonso Ford,23,SG,0,0.4
2002,Alton Ford,20,PF,0,10
2003,Alton Ford,21,PF,0,-2.2
2004,Alton Ford,22,PF,0,12.4
1990,Alton Lister,31,C,0,10.9
1991,Alton Lister,32,C,0,10.7
1992,Alton Lister,33,C,0,11.2
1993,Alton Lister,34,C,0,4.3
1995,Alton Lister,36,C,0,10.2
1996,Alton Lister,37,C,0,9.6
1996,Alton Lister,37,C,0,7.4
1996,Alton Lister,37,C,0,9.9
1997,Alton Lister,38,C,0,7.8
1998,Alton Lister,39,C,0,2.4
1996,Alvin Heggs,28,SF,0,20.7
2002,Alvin Jones,23,C,0,6.2
1990,Alvin Robertson,27,SG,0,18.9
1991,Alvin Robertson,28,SG,0,18.6
1992,Alvin Robertson,29,SG,0,15
1993,Alvin Robertson,30,SG,0,13.2
1993,Alvin Robertson,30,SG,0,13.6
1993,Alvin Robertson,30,SG,0,12.7
1996,Alvin Robertson,33,SG,0,12.7
1999,Alvin Sims,24,SG,0,10.9
1998,Alvin Williams,23,SG,0,10.3
1998,Alvin Williams,23,SG,0,11
1998,Alvin Williams,23,SG,0,7.3
1999,Alvin Williams,24,PG,0,10.4
2000,Alvin Williams,25,PG,0,13.6
2001,Alvin Williams,26,SG,0,15.2
2002,Alvin Williams,27,PG,0,13.8
2003,Alvin Williams,28,PG,0,16.7
2004,Alvin Williams,29,SG,0,11.4
2006,Alvin Williams,31,PG,0,-4.7
2007,Alvin Williams,32,PG,0,6.6
1997,Amal McCaskill,23,C,0,6.1
2002,Amal McCaskill,28,C,0,10.2
2003,Amal McCaskill,29,C,0,7.3
2004,Amal McCaskill,30,C,0,7.3
2003,Amar'e Stoudemire,20,PF,5,16.2
2004,Amar'e Stoudemire,21,PF,5,19.8
2005,Amar'e Stoudemire,22,C,5,26.6
2006,Amar'e Stoudemire,23,C,5,17.8
2007,Amar'e Stoudemire,24,C,5,23.1
2008,Amar'e Stoudemire,25,C,5,27.6
2009,Amar'e Stoudemire,26,PF,5,20.3
2010,Amar'e Stoudemire,27,PF,5,22.6
2011,Amar'e Stoudemire,28,C,5,22.7
2012,Amar'e Stoudemire,29,PF,5,17.7
2013,Amar'e Stoudemire,30,PF,5,22.1
2014,Amar'e Stoudemire,31,C,5,18.8
2015,Amar'e Stoudemire,32,PF,5,20.3
2015,Amar'e Stoudemire,32,PF,5,19.5
2015,Amar'e Stoudemire,32,PF,5,22.3
2016,Amar'e Stoudemire,33,C,5,17.3
2006,Amir Johnson,18,SF,0,20.3
2007,Amir Johnson,19,PF,0,20.6
2008,Amir Johnson,20,PF,0,17.5
2009,Amir Johnson,21,PF,0,13.5
2010,Amir Johnson,22,PF,0,16.7
2011,Amir Johnson,23,PF,0,17.6
2012,Amir Johnson,24,PF,0,14.4
2013,Amir Johnson,25,PF,0,17.3
2014,Amir Johnson,26,PF,0,15.4
2015,Amir Johnson,27,PF,0,15.4
2016,Amir Johnson,28,PF,0,16
2017,Amir Johnson,29,PF,0,15
2005,Anderson Varejao,22,PF,0,17
2006,Anderson Varejao,23,C,0,14.8
2007,Anderson Varejao,24,C,0,14.4
2008,Anderson Varejao,25,C,0,12
2009,Anderson Varejao,26,PF,0,14.6
2010,Anderson Varejao,27,PF,0,15.8
2011,Anderson Varejao,28,C,0,15.2
2012,Anderson Varejao,29,C,0,18.9
2013,Anderson Varejao,30,C,0,21.7
2014,Anderson Varejao,31,C,0,17
2015,Anderson Varejao,32,C,0,17.7
2016,Anderson Varejao,33,C,0,11.1
2016,Anderson Varejao,33,C,0,11.2
2016,Anderson Varejao,33,C,0,11
2017,Anderson Varejao,34,C,0,9.4
1999,Andrae Patterson,23,PF,0,14.5
2000,Andrae Patterson,24,PF,0,11.7
2006,Andray Blatche,19,PF,0,10.1
2007,Andray Blatche,20,PF,0,12.1
2008,Andray Blatche,21,PF,0,15.5
2009,Andray Blatche,22,C,0,15
2010,Andray Blatche,23,PF,0,17.6
2011,Andray Blatche,24,PF,0,16.9
2012,Andray Blatche,25,PF,0,10.6
2013,Andray Blatche,26,C,0,21.9
2014,Andray Blatche,27,PF,0,18.8
2005,Andre Barrett,22,PG,0,8.6
2005,Andre Barrett,22,PG,0,5.6
2005,Andre Barrett,22,PG,0,14
2006,Andre Barrett,23,PG,0,11.3
2006,Andre Barrett,23,PG,0,14.1
2006,Andre Barrett,23,PG,0,11
2007,Andre Barrett,24,PG,0,8.2
2008,Andre Barrett,25,PG,0,12.5
2007,Andre Brown,25,PF,0,11.1
2008,Andre Brown,26,PF,0,13.5
2009,Andre Brown,27,PF,0,-1.5
2015,Andre Dawkins,23,SG,0,-5
2013,Andre Drummond,19,C,1,21.6
2014,Andre Drummond,20,C,1,22.6
2015,Andre Drummond,21,C,1,21.4
2016,Andre Drummond,22,C,1,21.2
2017,Andre Drummond,23,C,1,20.9
2005,Andre Emmett,22,SG,0,0.9
2012,Andre Emmett,29,SF,0,13.3
2005,Andre Iguodala,21,SG,0,13.5
2006,Andre Iguodala,22,SF,0,14.8
2007,Andre Iguodala,23,SG,0,18.1
2008,Andre Iguodala,24,SF,0,19
2009,Andre Iguodala,25,SF,0,18.4
2010,Andre Iguodala,26,SF,0,17.8
2011,Andre Iguodala,27,SF,0,17.2
2012,Andre Iguodala,28,SF,0,17.6
2013,Andre Iguodala,29,SG,0,15.2
2014,Andre Iguodala,30,SF,0,13.7
2015,Andre Iguodala,31,SF,0,12.3
2016,Andre Iguodala,32,SF,0,12.2
2017,Andre Iguodala,33,SF,0,14.4
2000,Andre Miller,23,PG,0,17.9
2001,Andre Miller,24,PG,0,20.1
2002,Andre Miller,25,PG,0,21.8
2003,Andre Miller,26,PG,0,15.2
2004,Andre Miller,27,PG,0,18.8
2005,Andre Miller,28,PG,0,16.5
2006,Andre Miller,29,PG,0,16.4
2007,Andre Miller,30,PG,0,16.1
2007,Andre Miller,30,PG,0,16.6
2007,Andre Miller,30,PG,0,15.9
2008,Andre Miller,31,PG,0,18.4
2009,Andre Miller,32,PG,0,18.6
2010,Andre Miller,33,PG,0,18.1
2011,Andre Miller,34,PG,0,17.8
2012,Andre Miller,35,SG,0,14.8
2013,Andre Miller,36,PG,0,15.7
2014,Andre Miller,37,SG,0,13.9
2014,Andre Miller,37,SG,0,13.4
2014,Andre Miller,37,SG,0,14.6
2015,Andre Miller,38,PG,0,13.3
2015,Andre Miller,38,PG,0,14.3
2015,Andre Miller,38,PG,0,12.3
2016,Andre Miller,39,PG,0,13.4
2016,Andre Miller,39,PG,0,13.7
2016,Andre Miller,39,PG,0,12.9
2006,Andre Owens,25,PG,0,5.2
2008,Andre Owens,27,PG,0,10
2014,Andre Roberson,22,SG,0,9
2015,Andre Roberson,23,SG,0,9.1
2016,Andre Roberson,24,SG,0,10.2
2017,Andre Roberson,25,SF,0,9.6
1993,Andre Spencer,28,SF,0,12.8
1993,Andre Spencer,28,SF,0,-8.8
1993,Andre Spencer,28,SF,0,13.5
1994,Andre Spencer,29,SF,0,15.6
1994,Andre Spencer,29,SF,0,12
1994,Andre Spencer,29,SF,0,16.4
1990,Andre Turner,25,PG,0,6.2
1990,Andre Turner,25,PG,0,-4.8
1990,Andre Turner,25,PG,0,10.2
1991,Andre Turner,26,PG,0,12.8
1992,Andre Turner,27,PG,0,12.1
2007,Andrea Bargnani,21,PF,0,12.8
2008,Andrea Bargnani,22,PF,0,10.6
2009,Andrea Bargnani,23,PF,0,14.6
2010,Andrea Bargnani,24,PF,0,15.5
2011,Andrea Bargnani,25,C,0,16.4
2012,Andrea Bargnani,26,C,0,17.9
2013,Andrea Bargnani,27,PF,0,11.2
2014,Andrea Bargnani,28,C,0,14.5
2015,Andrea Bargnani,29,C,0,16.6
2016,Andrea Bargnani,30,C,0,11.8
2007,Andreas Glyniadakis,25,C,0,-3.3
2002,Andrei Kirilenko,20,SF,0,18.8
2003,Andrei Kirilenko,21,SF,0,21.1
2004,Andrei Kirilenko,22,PF,0,22.6
2005,Andrei Kirilenko,23,PF,0,24.4
2006,Andrei Kirilenko,24,SF,0,20.7
2007,Andrei Kirilenko,25,SF,0,14.3
2008,Andrei Kirilenko,26,SF,0,17.2
2009,Andrei Kirilenko,27,PF,0,16.8
2010,Andrei Kirilenko,28,SF,0,18.2
2011,Andrei Kirilenko,29,SF,0,16.6
2013,Andrei Kirilenko,31,SF,0,17.6
2014,Andrei Kirilenko,32,PF,0,12.4
2015,Andrei Kirilenko,33,SF,0,2.8
1994,Andres Guibert,25,C,0,6.1
1995,Andres Guibert,26,PF,0,8.3
2005,Andres Nocioni,25,SF,0,10.1
2006,Andres Nocioni,26,PF,0,16.1
2007,Andres Nocioni,27,PF,0,15.6
2008,Andres Nocioni,28,SF,0,13.6
2009,Andres Nocioni,29,PF-SF,0,12.2
2009,Andres Nocioni,29,PF,0,11.4
2009,Andres Nocioni,29,SF,0,13.6
2010,Andres Nocioni,30,SF,0,11.1
2011,Andres Nocioni,31,SF,0,10.1
2012,Andres Nocioni,32,SF,0,1.8
2006,Andrew Bogut,21,PF,1,15.2
2007,Andrew Bogut,22,C,1,15.5
2008,Andrew Bogut,23,C,1,17.5
2009,Andrew Bogut,24,C,1,16.2
2010,Andrew Bogut,25,C,1,20.7
2011,Andrew Bogut,26,C,1,16.7
2012,Andrew Bogut,27,C,1,14.9
2013,Andrew Bogut,28,C,1,13.8
2014,Andrew Bogut,29,C,1,17
2015,Andrew Bogut,30,C,1,15.8
2016,Andrew Bogut,31,C,1,15.9
2017,Andrew Bogut,32,C,1,9.3
2017,Andrew Bogut,32,C,1,9.4
2017,Andrew Bogut,32,C,1,-35.3
2006,Andrew Bynum,18,C,1,7.4
2007,Andrew Bynum,19,C,1,15.4
2008,Andrew Bynum,20,C,1,22.6
2009,Andrew Bynum,21,C,1,20
2010,Andrew Bynum,22,C,1,20.2
2011,Andrew Bynum,23,C,1,21.1
2012,Andrew Bynum,24,C,1,22.9
2014,Andrew Bynum,26,C,1,15.2
2014,Andrew Bynum,26,C,1,14.8
2014,Andrew Bynum,26,C,1,19.9
1996,Andrew DeClercq,22,C,0,12.1
1997,Andrew DeClercq,23,C,0,12.5
