Karl-Anthony Towns,2017.5,21.5,0.0,0.5,0.75,2.0,80.75,80.75,2780.0,34.42,24.92,0.62,0.2,0.3,10.4,28.87,19.6,13.12,1.12,3.72,12.02,26.02,8.28,3.05,11.35,0.19,3.9,1.15,5.03,4.92,686.75,8.5,1279.5,15.88,0.54,98.25,1.23,250.75,3.15,0.38,586.0,987.25,0.59,0.57,325.0,4.03,388.75,4.82,0.83,256.5,3.18,701.25,8.7,957.75,11.88,209.75,2.62,61.5,0.78,120.25,1.5,198.5,2.45,265.75,3.3,1796.75,22.28
Kyrie Irving,2015.5,22.75,6.0,0.25,0.75,2.0,63.5,63.5,2146.12,33.58,22.08,0.57,0.3,0.25,2.45,9.38,5.89,30.41,1.96,0.88,12.15,29.3,5.46,1.82,7.31,0.16,4.91,-1.2,3.73,3.12,518.38,8.11,1114.5,17.44,0.46,132.88,2.06,341.0,5.3,0.39,407.25,773.5,0.53,0.52,242.12,3.79,276.75,4.34,0.88,48.12,0.76,183.38,2.88,231.5,3.65,360.5,5.64,84.0,1.31,22.25,0.35,167.75,2.65,139.75,2.2,1411.75,16.6
Luka Doncic,2019.0,20.0,9.0,0.0,0.0,0.0,72.0,72.0,2318.0,32.2,19.68,0.55,0.43,0.41,4.0,21.9,13.0,31.6,1.6,0.9,15.0,30.5,2.1,2.8,4.9,0.1,2.9,1.2,4.1,3.6,506.0,7.0,1186.0,16.5,0.43,168.0,2.3,514.0,7.1,0.33,506.0,672.0,0.75,0.5,346.0,4.8,485.0,6.7,0.71,86.0,1.2,477.0,6.6,563.0,0.71,429.0,6.0,77.0,1.1,25.0,0.3,247.0,3.4,137.0,1.9,1526.0,21.2
Stephen Curry,2014.5,25.5,6.0,0.6,2.1,6.0,69.4,68.8,2385.9,33.88,23.91,0.62,0.47,0.23,2.29,11.52,7.06,30.91,2.47,0.53,14.48,27.63,7.62,2.66,10.31,0.21,7.1,-0.72,6.37,5.11,564.9,7.99,1184.9,16.71,0.48,248.3,3.51,569.0,8.06,0.44,316.3,615.9,0.52,0.58,253.4,3.57,280.1,3.96,0.9,48.6,0.72,264.6,3.79,313.2,4.47,458.7,6.47,120.1,1.69,15.4,0.24,216.3,3.07,172.1,2.46,1631.5,23.06
