Alonzo Gee,2014.0,26.0,9.0,0.0,0.0,0.0,58.0,30.14,1269.86,19.6,9.66,0.5,0.23,0.37,4.89,12.5,8.59,7.33,2.24,0.91,15.1,14.27,0.51,0.84,1.31,0.04,-2.3,0.41,-1.9,0.19,139.0,2.09,321.43,4.87,0.41,25.57,0.36,80.43,1.19,0.28,113.43,241.0,0.45,0.45,78.29,1.24,103.14,1.63,0.71,53.43,0.84,136.14,2.11,189.57,2.99,62.0,0.97,53.14,0.83,14.29,0.23,62.43,0.97,111.29,1.79,381.86,5.8
Alonzo Mourning*,2000.33,29.33,0.0,0.13,1.13,2.0,55.87,45.73,1731.67,28.97,20.28,0.58,0.01,0.61,10.03,20.85,15.59,6.25,0.77,6.74,15.23,24.71,2.77,3.21,5.98,0.16,-1.39,2.05,0.65,1.61,341.07,5.63,646.73,10.73,0.53,1.47,0.01,5.93,0.07,0.18,339.6,640.8,0.53,0.53,270.47,4.4,390.8,6.42,0.68,145.6,2.45,330.2,5.45,475.8,7.89,63.07,1.05,27.6,0.45,157.07,2.6,147.27,2.41,187.33,3.15,954.07,15.67
Alton Lister,1994.0,35.0,0.0,0.0,0.0,0.0,38.75,17.38,516.25,11.74,8.39,0.5,0.02,0.46,9.95,23.26,16.51,4.6,0.75,2.88,19.14,12.45,-0.01,0.57,0.55,0.05,-4.58,0.08,-4.5,-0.24,50.88,1.16,105.75,2.41,0.47,0.0,0.0,0.38,0.04,0.2,50.88,105.38,0.48,0.47,29.88,0.66,52.5,1.21,0.59,45.5,1.06,119.75,2.4,165.25,3.48,19.88,0.44,7.12,0.19,28.62,0.55,32.75,0.68,97.5,2.34,131.62,3.01
Alvin Robertson,1992.4,29.4,12.0,0.0,0.0,0.0,78.0,72.8,2428.8,31.1,15.68,0.53,0.16,0.26,7.5,11.26,9.34,22.2,4.06,0.66,18.38,18.56,1.98,3.04,5.0,0.1,1.42,2.2,3.62,3.48,368.4,4.68,783.6,9.96,0.47,35.0,0.44,114.4,1.5,0.29,333.4,669.2,0.5,0.49,147.6,1.86,202.6,2.58,0.72,162.6,2.06,233.2,2.96,395.8,5.04,367.0,4.68,196.8,2.52,23.8,0.32,193.6,2.46,260.4,3.36,919.4,11.68
Alvin Williams,2002.22,27.22,6.0,0.0,0.0,0.0,51.11,37.11,1401.11,22.18,10.37,0.42,0.26,0.47,3.18,10.46,6.68,23.24,2.96,0.51,15.34,19.1,1.27,1.13,2.39,-0.01,-3.16,-1.21,-4.34,0.4,184.89,2.66,438.89,6.76,0.33,23.11,0.34,73.78,1.33,0.24,161.78,365.11,0.34,0.35,69.44,1.24,91.33,1.78,0.71,28.0,0.46,98.67,1.78,126.67,2.21,208.56,3.14,61.0,0.98,12.11,0.18,69.22,1.19,99.67,1.49,462.33,6.88
Amar'e Stoudemire,2009.5,26.5,0.0,0.36,3.14,5.0,60.43,49.71,1875.29,29.32,20.92,0.58,0.01,0.46,9.38,19.53,14.55,6.49,1.19,2.98,12.36,25.61,4.51,2.1,6.61,0.16,0.05,-0.45,-0.39,1.19,422.21,6.46,786.36,12.32,0.52,2.14,0.03,9.07,0.15,0.21,420.07,777.29,0.53,0.53,295.86,4.53,388.86,5.89,0.77,144.93,2.31,328.79,5.08,473.71,7.39,75.0,1.15,45.43,0.7,75.29,1.17,139.5,2.11,191.79,2.98,1142.43,17.51
Amir Johnson,2011.5,23.5,3.0,0.0,0.0,0.0,62.08,38.42,1385.25,20.83,16.64,0.63,0.08,0.31,11.19,17.7,14.43,8.21,1.38,4.36,16.61,15.2,2.46,1.7,4.18,0.15,0.3,2.26,2.56,1.58,194.92,2.98,339.42,5.11,0.58,7.08,0.15,20.83,0.38,0.29,187.83,318.58,0.6,0.6,66.33,1.11,98.42,1.55,0.7,129.33,1.97,221.83,3.21,351.17,5.18,74.58,1.1,38.67,0.56,65.17,1.08,69.33,1.12,190.58,2.95,463.25,7.18
Anderson Varejao,2011.0,28.0,0.0,0.0,0.0,0.0,48.23,16.08,1157.77,23.68,15.35,0.53,0.01,0.46,12.11,23.14,17.58,8.41,1.88,2.11,13.82,14.77,1.71,1.87,3.58,0.14,-1.04,2.05,1.02,1.02,138.77,2.95,271.85,5.82,0.5,0.08,0.0,3.23,0.07,0.04,138.69,268.62,0.5,0.5,73.23,1.49,116.08,2.32,0.65,115.69,2.55,231.31,4.83,347.0,7.38,56.46,1.27,41.31,0.85,31.15,0.62,45.54,1.02,125.38,2.45,350.85,7.41
Andray Blatche,2010.0,23.0,3.0,0.0,0.0,0.0,62.67,21.22,1384.67,21.08,15.39,0.49,0.07,0.26,9.53,18.92,14.12,10.6,1.94,2.99,14.31,22.82,0.57,1.54,2.14,0.06,-1.88,0.73,-1.16,0.59,258.56,3.83,553.44,8.37,0.45,5.78,0.1,24.33,0.39,0.23,252.78,529.11,0.47,0.46,111.11,1.61,153.33,2.26,0.72,115.89,1.74,220.11,3.37,336.0,5.1,88.67,1.31,54.67,0.79,50.89,0.76,101.56,1.51,153.56,2.32,634.0,9.37
Andre Drummond,2015.0,21.0,0.0,0.2,0.4,1.0,77.0,67.0,2287.8,29.22,21.54,0.54,0.0,0.44,16.38,31.1,23.46,4.1,2.18,4.24,11.12,20.48,3.08,4.18,7.24,0.15,-0.92,1.74,0.82,1.54,443.2,5.64,808.6,10.24,0.56,1.0,0.0,3.8,0.04,0.22,442.2,804.8,0.56,0.56,136.6,1.74,358.6,4.56,0.38,357.2,4.54,632.0,8.02,989.2,12.58,55.2,0.7,95.2,1.22,116.0,1.52,118.8,1.54,236.8,3.04,1024.0,13.0
Andre Iguodala,2011.0,27.0,9.0,0.0,0.0,0.0,75.08,58.38,2602.62,34.49,15.71,0.56,0.3,0.36,3.17,13.99,8.62,19.67,2.32,1.06,14.88,17.2,3.6,3.28,6.85,0.13,1.3,1.68,2.97,3.32,349.46,4.59,752.0,9.91,0.47,69.85,0.92,208.08,2.76,0.34,279.62,543.92,0.53,0.52,206.85,2.68,289.54,3.79,0.69,72.38,0.95,322.46,4.28,394.85,5.24,338.15,4.53,119.08,1.57,35.62,0.48,153.15,2.02,139.69,1.85,975.62,12.81
Andre Miller,2008.0,31.0,6.0,0.0,0.0,0.0,76.71,55.24,2368.71,30.02,16.87,0.54,0.07,0.37,3.86,9.96,6.93,34.18,1.95,0.42,17.84,19.94,4.09,1.83,5.94,0.12,1.3,-0.68,0.6,1.87,355.0,4.46,770.82,9.71,0.47,11.35,0.15,52.24,0.68,0.22,343.65,718.59,0.48,0.48,236.18,2.96,292.65,3.68,0.8,80.76,1.01,201.29,2.56,282.06,3.58,501.41,6.35,90.94,1.15,13.35,0.16,183.59,2.32,169.53,2.16,957.53,12.05
Andrea Bargnani,2011.5,25.5,0.0,0.0,0.0,0.0,55.0,37.7,1580.6,28.39,14.19,0.52,0.25,0.25,4.01,14.66,9.31,7.35,0.66,2.24,10.2,24.28,0.97,0.89,1.88,0.05,-1.03,-1.8,-2.8,-0.09,293.2,5.33,667.6,12.16,0.44,62.7,1.04,177.1,3.01,0.33,230.5,490.5,0.47,0.48,138.2,2.58,167.7,3.11,0.83,53.0,0.95,201.1,3.57,254.1,4.53,65.3,1.23,20.7,0.37,47.0,0.81,85.1,1.53,133.8,2.27,787.3,14.27
Andrei Kirilenko,2008.23,26.23,9.0,0.0,0.0,0.0,61.31,42.0,1839.69,28.08,17.19,0.54,0.16,0.58,6.92,14.98,10.95,13.77,2.35,4.43,15.55,17.72,3.13,2.66,5.8,0.13,0.6,3.11,3.72,3.26,242.0,3.65,510.54,7.72,0.44,28.23,0.42,91.15,1.35,0.3,213.77,419.38,0.48,0.47,213.23,3.24,282.69,4.3,0.74,107.69,1.64,227.08,3.46,334.77,5.11,166.85,2.55,84.38,1.28,112.38,1.68,116.77,1.76,123.46,1.87,725.46,10.95
Andres Nocioni,2008.5,28.5,9.0,0.0,0.0,0.0,64.25,25.38,1501.62,21.25,11.32,0.51,0.35,0.3,3.09,19.34,11.18,7.69,0.92,1.39,13.2,21.59,0.88,1.84,2.72,0.06,-2.55,-0.82,-3.38,0.12,241.5,3.4,559.75,7.89,0.41,73.38,1.02,196.75,2.79,0.34,168.12,363.0,0.44,0.47,120.5,1.69,150.75,2.15,0.77,44.25,0.62,242.62,3.49,286.88,4.12,76.75,1.05,26.88,0.39,28.5,0.39,90.5,1.33,174.25,2.45,676.88,9.52
Andrew Bogut,2011.5,26.5,0.0,0.08,0.67,1.0,55.92,54.25,1626.0,28.64,15.71,0.54,0.0,0.24,9.81,25.9,17.77,12.43,1.19,4.4,17.99,16.29,1.59,2.58,4.15,0.12,-1.64,3.82,2.17,1.79,245.92,4.24,460.33,8.08,0.53,0.25,0.0,2.08,0.03,0.26,245.67,458.25,0.53,0.53,69.0,1.14,124.17,2.05,0.51,143.0,2.48,355.25,6.36,498.25,8.87,126.67,2.24,36.25,0.66,89.17,1.57,98.08,1.76,177.0,3.16,561.08,9.62
Andrew Bynum,2009.62,21.62,0.0,0.12,0.25,1.0,52.25,39.88,1336.25,25.01,18.1,0.56,0.0,0.4,11.18,22.06,16.74,7.52,0.62,4.75,13.71,19.5,2.61,2.06,4.68,0.14,-1.14,1.52,0.4,1.11,239.62,4.51,430.75,8.24,0.53,0.12,0.0,1.12,0.01,0.22,239.5,429.62,0.54,0.53,123.38,2.26,178.88,3.29,0.65,125.88,2.39,276.75,5.2,402.62,7.61,61.25,1.16,16.62,0.31,82.12,1.55,80.5,1.5,128.5,2.32,602.75,11.31
Andrew DeClercq,2000.5,26.5,0.0,0.0,0.0,0.0,58.7,25.3,984.7,15.3,11.46,0.52,0.0,0.4,12.14,16.04,14.03,5.03,2.04,2.02,15.67,13.9,0.83,1.08,1.93,0.09,-1.93,0.3,-1.62,0.24,111.8,1.72,220.7,3.43,0.5,0.0,0.0,0.2,0.0,0.25,111.8,220.5,0.5,0.5,57.9,0.89,93.2,1.47,0.6,102.5,1.59,146.3,2.21,248.8,3.8,33.9,0.52,39.0,0.62,30.1,0.45,55.0,0.81,178.9,2.82,281.5,4.35
Andrew Lang,1995.0,28.0,0.0,0.0,0.0,0.0,61.36,32.27,1347.09,20.86,11.14,0.5,0.0,0.33,9.05,17.62,13.36,3.92,1.12,4.22,13.75,13.75,0.65,1.82,2.46,0.08,-3.39,1.7,-1.65,0.28,156.36,2.34,333.45,5.14,0.46,0.45,0.0,1.82,0.02,0.23,155.91,331.64,0.46,0.46,75.18,1.13,100.36,1.5,0.71,103.09,1.61,202.73,3.17,305.82,4.78,37.73,0.57,28.64,0.44,95.55,1.38,60.82,0.92,175.0,2.68,388.36,5.8
Andrew Nicholson,2015.0,25.0,3.0,0.0,0.0,0.0,57.0,7.2,816.0,13.62,11.2,0.5,0.21,0.16,4.9,17.84,11.34,5.16,1.06,1.84,11.5,19.92,0.12,0.66,0.78,0.03,-3.82,-1.64,-5.48,-0.7,141.6,2.32,303.4,5.04,0.45,17.4,0.3,54.2,0.98,0.3,124.2,249.2,0.49,0.48,39.4,0.62,51.0,0.86,0.73,37.6,0.6,133.8,2.2,171.4,2.82,25.2,0.44,14.8,0.26,19.0,0.32,42.4,0.7,91.6,1.54,340.0,5.58
Andris Biedrins,2009.5,22.5,0.0,0.0,0.0,0.0,51.6,31.1,1114.6,19.31,12.69,0.55,0.0,0.9,10.35,25.46,17.78,5.22,1.35,3.73,18.88,10.39,1.69,1.4,3.08,0.11,-2.67,1.85,-0.79,0.86,143.2,2.3,240.9,3.88,0.62,0.0,0.0,0.2,0.0,0.25,143.2,240.7,0.62,0.62,38.3,0.6,76.6,1.31,0.35,119.0,1.98,244.1,4.31,363.1,6.28,46.7,0.82,33.1,0.55,58.0,0.99,47.9,0.82,162.6,2.91,324.7,5.2
Anfernee Hardaway,2000.57,28.57,12.0,0.21,2.57,3.0,50.29,39.79,1693.64,31.27,15.0,0.5,0.18,0.29,3.83,11.49,7.62,22.11,2.41,0.82,15.54,20.41,2.55,1.87,4.43,0.09,0.33,0.55,0.91,1.94,285.36,4.89,623.64,11.04,0.43,35.93,0.64,113.64,2.06,0.3,249.43,510.0,0.45,0.46,156.5,2.7,202.21,3.51,0.79,69.64,1.12,155.07,3.04,224.71,4.16,251.79,4.37,80.36,1.46,22.29,0.39,127.57,2.22,111.57,2.12,763.14,13.1
Antawn Jamison,2006.5,29.5,3.0,0.0,0.0,0.0,67.69,54.0,2352.38,33.38,17.3,0.52,0.21,0.29,7.44,17.24,12.25,8.15,1.44,0.87,8.28,23.89,4.07,1.44,5.49,0.1,0.99,-1.63,-0.65,1.09,479.94,6.75,1064.0,15.05,0.44,72.69,1.01,210.31,2.96,0.33,407.25,853.69,0.48,0.48,220.06,3.07,303.75,4.29,0.71,159.81,2.29,350.0,4.97,509.81,7.26,110.06,1.57,65.5,0.92,26.31,0.36,107.12,1.54,161.25,2.34,1252.62,17.59
Anthony Avent,1996.17,26.17,3.0,0.0,0.0,0.0,58.67,26.0,1121.5,16.7,7.15,0.41,0.0,0.25,11.6,16.43,13.87,5.57,1.57,1.92,19.12,17.55,-0.95,1.03,0.07,-0.03,-5.78,-0.07,-5.83,-0.82,135.67,1.93,336.5,4.97,0.37,0.0,0.0,0.33,0.0,0.26,135.67,336.17,0.37,0.37,55.0,0.8,80.17,1.18,0.66,93.33,1.52,170.67,2.45,264.0,3.97,46.33,0.67,27.67,0.43,35.17,0.48,69.33,1.15,137.33,2.1,326.33,4.67
Anthony Bonner,1993.5,24.5,3.0,0.0,0.0,0.0,53.0,20.0,1228.67,20.93,11.45,0.48,0.01,0.39,11.72,18.67,15.2,9.78,2.58,0.65,17.42,16.37,0.13,1.63,1.77,0.07,-2.65,1.72,-0.92,0.45,146.83,2.5,313.5,5.53,0.45,0.33,0.0,2.67,0.05,0.23,146.5,310.83,0.45,0.45,72.5,1.25,122.83,2.18,0.56,118.0,2.05,169.67,3.18,287.67,5.22,73.67,1.33,57.67,1.02,14.0,0.2,75.0,1.3,130.67,2.47,366.5,6.27
Anthony Bowie,1994.0,30.0,12.0,0.0,0.0,0.0,63.29,11.71,1130.14,17.53,11.6,0.52,0.08,0.18,4.13,9.54,6.86,14.16,1.71,0.79,14.36,16.46,0.69,0.99,1.67,0.08,-1.7,-0.16,-1.89,0.09,167.86,2.64,354.86,5.54,0.48,9.43,0.16,29.43,0.43,0.35,158.43,325.43,0.49,0.49,53.43,0.86,64.43,1.0,0.83,39.14,0.6,98.71,1.54,137.86,2.17,115.86,1.76,38.57,0.6,14.57,0.24,65.14,1.0,95.43,1.46,398.57,6.29
Anthony Carter,2006.0,30.0,6.0,0.0,0.0,0.0,47.92,13.92,937.23,18.25,9.11,0.43,0.18,0.17,2.12,10.31,6.28,29.77,2.33,0.88,24.38,16.72,-0.35,1.16,0.81,0.01,-4.15,-0.15,-4.28,-0.17,94.62,1.81,234.08,4.71,0.39,8.92,0.15,35.69,0.75,0.17,85.69,198.38,0.43,0.41,33.31,0.53,47.15,0.75,0.74,18.77,0.32,81.38,1.62,100.15,1.95,181.77,3.58,46.23,0.81,8.85,0.2,73.69,1.63,84.85,1.69,231.46,4.32
Anthony Davis,2015.0,21.0,3.0,0.4,0.8,2.0,67.0,66.0,2306.2,34.34,26.3,0.57,0.04,0.39,8.32,25.04,16.58,9.36,1.96,5.56,8.48,27.4,6.22,3.54,9.74,0.2,1.88,2.12,3.96,3.56,568.6,8.44,1108.6,16.44,0.51,15.6,0.22,53.8,0.8,0.19,553.0,1054.8,0.52,0.52,346.6,5.1,440.6,6.5,0.78,169.8,2.52,511.0,7.58,680.8,10.1,118.0,1.76,87.2,1.32,158.6,2.34,119.0,1.76,163.0,2.44,1499.4,22.2
