Karl-Anthony Towns,2018.0,21.8,0.0,0.6,1.0,2.0,67.8,67.8,2329.4,34.12,25.68,0.63,0.26,0.31,9.9,29.24,19.56,14.86,1.2,3.7,12.52,26.56,7.0,2.62,9.64,0.21,4.54,1.46,5.98,4.26,577.8,8.58,1079.0,16.16,0.53,91.2,1.76,229.0,4.3,0.39,484.6,816.8,0.59,0.59,274.6,4.14,329.4,5.02,0.83,213.4,3.06,593.0,8.96,806.4,12.02,180.8,2.92,52.6,0.84,101.0,1.5,169.6,2.64,223.4,3.32,1521.4,23.08
Kyrie Irving,2016.0,23.22,6.0,0.33,0.89,2.0,57.67,57.67,1949.0,33.61,22.52,0.57,0.31,0.25,2.49,9.84,6.16,31.47,1.91,0.92,11.74,29.82,5.0,1.66,6.68,0.17,5.18,-1.16,4.02,2.87,473.22,8.34,1018.67,18.06,0.46,121.56,2.16,313.22,5.63,0.38,371.0,705.44,0.52,0.52,221.78,3.97,253.0,4.49,0.88,43.89,0.78,168.44,3.06,212.33,3.84,329.22,5.81,76.0,1.29,20.44,0.37,152.0,2.62,127.78,2.28,1289.78,17.92
Luka Doncic,2019.5,20.0,9.0,0.0,0.0,0.0,44.5,44.5,1447.5,33.1,25.81,0.58,0.45,0.44,4.1,22.7,13.5,40.35,1.8,0.66,15.58,32.6,2.45,1.78,4.23,0.2,7.08,1.83,8.9,2.95,335.5,8.35,763.0,18.25,0.46,110.0,2.7,336.0,8.2,0.33,335.5,427.0,0.83,0.53,238.0,6.2,321.5,8.0,0.77,55.5,1.35,311.0,7.55,366.5,5.36,295.5,7.75,51.0,1.3,14.0,0.25,163.0,4.0,90.5,2.25,1019.0,25.65
Stephen Curry,2015.0,26.0,6.0,0.64,2.45,6.0,63.45,62.91,2179.18,33.35,23.65,0.61,0.48,0.24,2.43,11.87,7.28,31.82,2.44,0.62,14.7,28.15,6.94,2.43,9.39,0.19,6.9,-0.82,6.07,4.65,516.0,7.88,1083.18,16.69,0.47,226.55,3.4,520.55,8.15,0.42,289.18,562.55,0.53,0.57,232.0,3.65,256.27,4.01,0.91,44.55,0.75,242.0,3.81,286.55,4.52,419.36,6.47,109.64,1.65,14.18,0.26,198.0,3.13,157.36,2.46,1490.55,22.8
